Sorted container:
Container contains 1000 elements.0: It is Parallelepiped: a = 18, b = 20, c = 19. SurfaceArea = 2164.000000.
357: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
358: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
359: It is Tetrahedron: a = 14. SurfaceArea = 339.481958.
360: It is Parallelepiped: a = 2, b = 7, c = 17. SurfaceArea = 334.000000.
361: It is Parallelepiped: a = 15, b = 2, c = 8. SurfaceArea = 332.000000.
362: It is Parallelepiped: a = 10, b = 1, c = 14. SurfaceArea = 328.000000.
363: It is Parallelepiped: a = 16, b = 3, c = 6. SurfaceArea = 324.000000.
364: It is Parallelepiped: a = 8, b = 17, c = 1. SurfaceArea = 322.000000.
365: It is Parallelepiped: a = 9, b = 3, c = 11. SurfaceArea = 318.000000.
366: It is Parallelepiped: a = 2, b = 8, c = 14. SurfaceArea = 312.000000.
367: It is Parallelepiped: a = 6, b = 6, c = 10. SurfaceArea = 312.000000.
368: It is Parallelepiped: a = 4, b = 15, c = 5. SurfaceArea = 310.000000.
369: It is Parallelepiped: a = 3, b = 15, c = 6. SurfaceArea = 306.000000.
370: It is Parallelepiped: a = 10, b = 1, c = 13. SurfaceArea = 306.000000.
371: It is Parallelepiped: a = 11, b = 2, c = 10. SurfaceArea = 304.000000.
372: It is Parallelepiped: a = 20, b = 3, c = 4. SurfaceArea = 304.000000.
373: It is Parallelepiped: a = 4, b = 10, c = 8. SurfaceArea = 304.000000.
374: It is Parallelepiped: a = 20, b = 5, c = 2. SurfaceArea = 300.000000.
375: It is Parallelepiped: a = 9, b = 2, c = 12. SurfaceArea = 300.000000.
376: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
377: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
378: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
379: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
380: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
381: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
382: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
383: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
384: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
385: It is Tetrahedron: a = 13. SurfaceArea = 292.716586.
386: It is Parallelepiped: a = 8, b = 2, c = 13. SurfaceArea = 292.000000.
387: It is Parallelepiped: a = 14, b = 4, c = 5. SurfaceArea = 292.000000.
388: It is Parallelepiped: a = 12, b = 7, c = 3. SurfaceArea = 282.000000.
389: It is Parallelepiped: a = 3, b = 4, c = 18. SurfaceArea = 276.000000.
390: It is Parallelepiped: a = 13, b = 5, c = 4. SurfaceArea = 274.000000.
391: It is Parallelepiped: a = 6, b = 11, c = 4. SurfaceArea = 268.000000.
392: It is Parallelepiped: a = 4, b = 3, c = 17. SurfaceArea = 262.000000.
393: It is Parallelepiped: a = 2, b = 9, c = 10. SurfaceArea = 256.000000.
394: It is Sphere: r = 20. SurfaceArea = 251.320000.
395: It is Sphere: r = 20. SurfaceArea = 251.320000.
396: It is Sphere: r = 20. SurfaceArea = 251.320000.
397: It is Sphere: r = 20. SurfaceArea = 251.320000.
398: It is Sphere: r = 20. SurfaceArea = 251.320000.
399: It is Sphere: r = 20. SurfaceArea = 251.320000.
400: It is Sphere: r = 20. SurfaceArea = 251.320000.
401: It is Sphere: r = 20. SurfaceArea = 251.320000.
402: It is Sphere: r = 20. SurfaceArea = 251.320000.
403: It is Sphere: r = 20. SurfaceArea = 251.320000.
404: It is Sphere: r = 20. SurfaceArea = 251.320000.
405: It is Sphere: r = 20. SurfaceArea = 251.320000.
406: It is Parallelepiped: a = 1, b = 8, c = 13. SurfaceArea = 250.000000.
407: It is Parallelepiped: a = 8, b = 13, c = 1. SurfaceArea = 250.000000.
408: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
409: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
410: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
411: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
412: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
413: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
414: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
415: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
416: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
417: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
418: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
419: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
420: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
421: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
422: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
423: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
424: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
425: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
426: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
427: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
428: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
429: It is Tetrahedron: a = 12. SurfaceArea = 249.415316.
430: It is Parallelepiped: a = 6, b = 10, c = 4. SurfaceArea = 248.000000.
431: It is Parallelepiped: a = 2, b = 19, c = 4. SurfaceArea = 244.000000.
432: It is Parallelepiped: a = 2, b = 12, c = 7. SurfaceArea = 244.000000.
433: It is Parallelepiped: a = 16, b = 5, c = 2. SurfaceArea = 244.000000.
434: It is Sphere: r = 19. SurfaceArea = 238.754000.
435: It is Sphere: r = 19. SurfaceArea = 238.754000.
436: It is Sphere: r = 19. SurfaceArea = 238.754000.
437: It is Sphere: r = 19. SurfaceArea = 238.754000.
438: It is Sphere: r = 19. SurfaceArea = 238.754000.
439: It is Sphere: r = 19. SurfaceArea = 238.754000.
440: It is Sphere: r = 19. SurfaceArea = 238.754000.
441: It is Sphere: r = 19. SurfaceArea = 238.754000.
442: It is Sphere: r = 19. SurfaceArea = 238.754000.
443: It is Sphere: r = 19. SurfaceArea = 238.754000.
444: It is Sphere: r = 19. SurfaceArea = 238.754000.
445: It is Sphere: r = 19. SurfaceArea = 238.754000.
446: It is Sphere: r = 19. SurfaceArea = 238.754000.
447: It is Sphere: r = 19. SurfaceArea = 238.754000.
448: It is Parallelepiped: a = 3, b = 13, c = 5. SurfaceArea = 238.000000.
449: It is Parallelepiped: a = 6, b = 8, c = 5. SurfaceArea = 236.000000.
450: It is Sphere: r = 18. SurfaceArea = 226.188000.
451: It is Sphere: r = 18. SurfaceArea = 226.188000.
452: It is Sphere: r = 18. SurfaceArea = 226.188000.
453: It is Sphere: r = 18. SurfaceArea = 226.188000.
454: It is Sphere: r = 18. SurfaceArea = 226.188000.
455: It is Sphere: r = 18. SurfaceArea = 226.188000.
456: It is Sphere: r = 18. SurfaceArea = 226.188000.
457: It is Sphere: r = 18. SurfaceArea = 226.188000.
458: It is Sphere: r = 18. SurfaceArea = 226.188000.
459: It is Sphere: r = 18. SurfaceArea = 226.188000.
460: It is Sphere: r = 18. SurfaceArea = 226.188000.
461: It is Sphere: r = 18. SurfaceArea = 226.188000.
462: It is Sphere: r = 18. SurfaceArea = 226.188000.
463: It is Sphere: r = 18. SurfaceArea = 226.188000.
464: It is Sphere: r = 18. SurfaceArea = 226.188000.
465: It is Sphere: r = 18. SurfaceArea = 226.188000.
466: It is Sphere: r = 18. SurfaceArea = 226.188000.
467: It is Sphere: r = 18. SurfaceArea = 226.188000.
468: It is Sphere: r = 18. SurfaceArea = 226.188000.
469: It is Parallelepiped: a = 3, b = 9, c = 7. SurfaceArea = 222.000000.
470: It is Parallelepiped: a = 9, b = 1, c = 10. SurfaceArea = 218.000000.
471: It is Parallelepiped: a = 5, b = 7, c = 6. SurfaceArea = 214.000000.
472: It is Parallelepiped: a = 1, b = 17, c = 5. SurfaceArea = 214.000000.
473: It is Sphere: r = 17. SurfaceArea = 213.622000.
474: It is Sphere: r = 17. SurfaceArea = 213.622000.
475: It is Sphere: r = 17. SurfaceArea = 213.622000.
476: It is Sphere: r = 17. SurfaceArea = 213.622000.
477: It is Sphere: r = 17. SurfaceArea = 213.622000.
478: It is Sphere: r = 17. SurfaceArea = 213.622000.
479: It is Sphere: r = 17. SurfaceArea = 213.622000.
480: It is Sphere: r = 17. SurfaceArea = 213.622000.
481: It is Sphere: r = 17. SurfaceArea = 213.622000.
482: It is Sphere: r = 17. SurfaceArea = 213.622000.
483: It is Sphere: r = 17. SurfaceArea = 213.622000.
484: It is Sphere: r = 17. SurfaceArea = 213.622000.
485: It is Sphere: r = 17. SurfaceArea = 213.622000.
486: It is Sphere: r = 17. SurfaceArea = 213.622000.
487: It is Sphere: r = 17. SurfaceArea = 213.622000.
488: It is Sphere: r = 17. SurfaceArea = 213.622000.
489: It is Sphere: r = 17. SurfaceArea = 213.622000.
490: It is Sphere: r = 17. SurfaceArea = 213.622000.
491: It is Sphere: r = 17. SurfaceArea = 213.622000.
492: It is Sphere: r = 17. SurfaceArea = 213.622000.
493: It is Parallelepiped: a = 8, b = 9, c = 2. SurfaceArea = 212.000000.
494: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
495: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
496: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
497: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
498: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
499: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
500: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
501: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
502: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
503: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
504: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
505: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
506: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
507: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
508: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
509: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
510: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
511: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
512: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
513: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
514: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
515: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
516: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
517: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
518: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
519: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
520: It is Tetrahedron: a = 11. SurfaceArea = 209.578148.
521: It is Parallelepiped: a = 2, b = 16, c = 4. SurfaceArea = 208.000000.
522: It is Parallelepiped: a = 4, b = 16, c = 2. SurfaceArea = 208.000000.
523: It is Sphere: r = 16. SurfaceArea = 201.056000.
524: It is Sphere: r = 16. SurfaceArea = 201.056000.
525: It is Sphere: r = 16. SurfaceArea = 201.056000.
526: It is Sphere: r = 16. SurfaceArea = 201.056000.
527: It is Sphere: r = 16. SurfaceArea = 201.056000.
528: It is Sphere: r = 16. SurfaceArea = 201.056000.
529: It is Sphere: r = 16. SurfaceArea = 201.056000.
530: It is Sphere: r = 16. SurfaceArea = 201.056000.
531: It is Sphere: r = 16. SurfaceArea = 201.056000.
532: It is Sphere: r = 16. SurfaceArea = 201.056000.
533: It is Sphere: r = 16. SurfaceArea = 201.056000.
534: It is Sphere: r = 16. SurfaceArea = 201.056000.
535: It is Parallelepiped: a = 6, b = 2, c = 11. SurfaceArea = 200.000000.
536: It is Parallelepiped: a = 3, b = 12, c = 4. SurfaceArea = 192.000000.
537: It is Parallelepiped: a = 12, b = 4, c = 3. SurfaceArea = 192.000000.
538: It is Parallelepiped: a = 15, b = 1, c = 5. SurfaceArea = 190.000000.
539: It is Parallelepiped: a = 2, b = 7, c = 9. SurfaceArea = 190.000000.
540: It is Sphere: r = 15. SurfaceArea = 188.490000.
541: It is Sphere: r = 15. SurfaceArea = 188.490000.
542: It is Sphere: r = 15. SurfaceArea = 188.490000.
543: It is Sphere: r = 15. SurfaceArea = 188.490000.
544: It is Sphere: r = 15. SurfaceArea = 188.490000.
545: It is Sphere: r = 15. SurfaceArea = 188.490000.
546: It is Sphere: r = 15. SurfaceArea = 188.490000.
547: It is Sphere: r = 15. SurfaceArea = 188.490000.
548: It is Sphere: r = 15. SurfaceArea = 188.490000.
549: It is Sphere: r = 15. SurfaceArea = 188.490000.
550: It is Sphere: r = 15. SurfaceArea = 188.490000.
551: It is Sphere: r = 15. SurfaceArea = 188.490000.
552: It is Sphere: r = 15. SurfaceArea = 188.490000.
553: It is Sphere: r = 15. SurfaceArea = 188.490000.
554: It is Sphere: r = 15. SurfaceArea = 188.490000.
555: It is Sphere: r = 15. SurfaceArea = 188.490000.
556: It is Sphere: r = 15. SurfaceArea = 188.490000.
557: It is Sphere: r = 15. SurfaceArea = 188.490000.
558: It is Sphere: r = 15. SurfaceArea = 188.490000.
559: It is Parallelepiped: a = 6, b = 7, c = 4. SurfaceArea = 188.000000.
560: It is Parallelepiped: a = 7, b = 6, c = 4. SurfaceArea = 188.000000.
561: It is Parallelepiped: a = 18, b = 4, c = 1. SurfaceArea = 188.000000.
562: It is Parallelepiped: a = 4, b = 17, c = 1. SurfaceArea = 178.000000.
563: It is Sphere: r = 14. SurfaceArea = 175.924000.
564: It is Sphere: r = 14. SurfaceArea = 175.924000.
565: It is Sphere: r = 14. SurfaceArea = 175.924000.
566: It is Sphere: r = 14. SurfaceArea = 175.924000.
567: It is Sphere: r = 14. SurfaceArea = 175.924000.
568: It is Sphere: r = 14. SurfaceArea = 175.924000.
569: It is Sphere: r = 14. SurfaceArea = 175.924000.
570: It is Sphere: r = 14. SurfaceArea = 175.924000.
571: It is Sphere: r = 14. SurfaceArea = 175.924000.
572: It is Sphere: r = 14. SurfaceArea = 175.924000.
573: It is Sphere: r = 14. SurfaceArea = 175.924000.
574: It is Sphere: r = 14. SurfaceArea = 175.924000.
575: It is Sphere: r = 14. SurfaceArea = 175.924000.
576: It is Sphere: r = 14. SurfaceArea = 175.924000.
577: It is Sphere: r = 14. SurfaceArea = 175.924000.
578: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
579: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
580: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
581: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
582: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
583: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
584: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
585: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
586: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
587: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
588: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
589: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
590: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
591: It is Tetrahedron: a = 10. SurfaceArea = 173.205081.
592: It is Parallelepiped: a = 2, b = 7, c = 8. SurfaceArea = 172.000000.
593: It is Parallelepiped: a = 2, b = 9, c = 6. SurfaceArea = 168.000000.
594: It is Parallelepiped: a = 2, b = 9, c = 6. SurfaceArea = 168.000000.
595: It is Parallelepiped: a = 20, b = 3, c = 1. SurfaceArea = 166.000000.
596: It is Parallelepiped: a = 10, b = 3, c = 4. SurfaceArea = 164.000000.
597: It is Parallelepiped: a = 4, b = 10, c = 3. SurfaceArea = 164.000000.
598: It is Sphere: r = 13. SurfaceArea = 163.358000.
599: It is Sphere: r = 13. SurfaceArea = 163.358000.
600: It is Sphere: r = 13. SurfaceArea = 163.358000.
601: It is Sphere: r = 13. SurfaceArea = 163.358000.
602: It is Sphere: r = 13. SurfaceArea = 163.358000.
603: It is Sphere: r = 13. SurfaceArea = 163.358000.
604: It is Sphere: r = 13. SurfaceArea = 163.358000.
605: It is Sphere: r = 13. SurfaceArea = 163.358000.
606: It is Sphere: r = 13. SurfaceArea = 163.358000.
607: It is Sphere: r = 13. SurfaceArea = 163.358000.
608: It is Sphere: r = 13. SurfaceArea = 163.358000.
609: It is Sphere: r = 13. SurfaceArea = 163.358000.
610: It is Sphere: r = 13. SurfaceArea = 163.358000.
611: It is Sphere: r = 13. SurfaceArea = 163.358000.
612: It is Sphere: r = 13. SurfaceArea = 163.358000.
613: It is Sphere: r = 13. SurfaceArea = 163.358000.
614: It is Sphere: r = 13. SurfaceArea = 163.358000.
615: It is Sphere: r = 13. SurfaceArea = 163.358000.
616: It is Sphere: r = 13. SurfaceArea = 163.358000.
617: It is Parallelepiped: a = 4, b = 4, c = 8. SurfaceArea = 160.000000.
618: It is Parallelepiped: a = 1, b = 4, c = 15. SurfaceArea = 158.000000.
619: It is Parallelepiped: a = 5, b = 1, c = 12. SurfaceArea = 154.000000.
620: It is Parallelepiped: a = 12, b = 1, c = 5. SurfaceArea = 154.000000.
621: It is Sphere: r = 12. SurfaceArea = 150.792000.
622: It is Sphere: r = 12. SurfaceArea = 150.792000.
623: It is Sphere: r = 12. SurfaceArea = 150.792000.
624: It is Sphere: r = 12. SurfaceArea = 150.792000.
625: It is Sphere: r = 12. SurfaceArea = 150.792000.
626: It is Sphere: r = 12. SurfaceArea = 150.792000.
627: It is Sphere: r = 12. SurfaceArea = 150.792000.
628: It is Sphere: r = 12. SurfaceArea = 150.792000.
629: It is Sphere: r = 12. SurfaceArea = 150.792000.
630: It is Sphere: r = 12. SurfaceArea = 150.792000.
631: It is Sphere: r = 12. SurfaceArea = 150.792000.
632: It is Parallelepiped: a = 3, b = 9, c = 4. SurfaceArea = 150.000000.
633: It is Parallelepiped: a = 14, b = 1, c = 4. SurfaceArea = 148.000000.
634: It is Parallelepiped: a = 11, b = 2, c = 4. SurfaceArea = 148.000000.
635: It is Parallelepiped: a = 17, b = 1, c = 3. SurfaceArea = 142.000000.
636: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
637: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
638: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
639: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
640: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
641: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
642: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
643: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
644: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
645: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
646: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
647: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
648: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
649: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
650: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
651: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
652: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
653: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
654: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
655: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
656: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
657: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
658: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
659: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
660: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
661: It is Tetrahedron: a = 9. SurfaceArea = 140.296115.
662: It is Sphere: r = 11. SurfaceArea = 138.226000.
663: It is Sphere: r = 11. SurfaceArea = 138.226000.
664: It is Sphere: r = 11. SurfaceArea = 138.226000.
665: It is Sphere: r = 11. SurfaceArea = 138.226000.
666: It is Sphere: r = 11. SurfaceArea = 138.226000.
667: It is Sphere: r = 11. SurfaceArea = 138.226000.
668: It is Sphere: r = 11. SurfaceArea = 138.226000.
669: It is Sphere: r = 11. SurfaceArea = 138.226000.
670: It is Sphere: r = 11. SurfaceArea = 138.226000.
671: It is Sphere: r = 11. SurfaceArea = 138.226000.
672: It is Sphere: r = 11. SurfaceArea = 138.226000.
673: It is Sphere: r = 11. SurfaceArea = 138.226000.
674: It is Sphere: r = 11. SurfaceArea = 138.226000.
675: It is Parallelepiped: a = 13, b = 4, c = 1. SurfaceArea = 138.000000.
676: It is Parallelepiped: a = 4, b = 3, c = 8. SurfaceArea = 136.000000.
677: It is Parallelepiped: a = 5, b = 2, c = 8. SurfaceArea = 132.000000.
678: It is Parallelepiped: a = 3, b = 2, c = 12. SurfaceArea = 132.000000.
679: It is Parallelepiped: a = 5, b = 5, c = 4. SurfaceArea = 130.000000.
680: It is Parallelepiped: a = 3, b = 3, c = 9. SurfaceArea = 126.000000.
681: It is Parallelepiped: a = 1, b = 3, c = 15. SurfaceArea = 126.000000.
682: It is Sphere: r = 10. SurfaceArea = 125.660000.
683: It is Sphere: r = 10. SurfaceArea = 125.660000.
684: It is Sphere: r = 10. SurfaceArea = 125.660000.
685: It is Sphere: r = 10. SurfaceArea = 125.660000.
686: It is Sphere: r = 10. SurfaceArea = 125.660000.
687: It is Sphere: r = 10. SurfaceArea = 125.660000.
688: It is Sphere: r = 10. SurfaceArea = 125.660000.
689: It is Sphere: r = 10. SurfaceArea = 125.660000.
690: It is Sphere: r = 10. SurfaceArea = 125.660000.
691: It is Sphere: r = 10. SurfaceArea = 125.660000.
692: It is Sphere: r = 10. SurfaceArea = 125.660000.
693: It is Sphere: r = 10. SurfaceArea = 125.660000.
694: It is Parallelepiped: a = 3, b = 7, c = 4. SurfaceArea = 122.000000.
695: It is Sphere: r = 9. SurfaceArea = 113.094000.
696: It is Sphere: r = 9. SurfaceArea = 113.094000.
697: It is Sphere: r = 9. SurfaceArea = 113.094000.
698: It is Sphere: r = 9. SurfaceArea = 113.094000.
699: It is Sphere: r = 9. SurfaceArea = 113.094000.
700: It is Sphere: r = 9. SurfaceArea = 113.094000.
701: It is Sphere: r = 9. SurfaceArea = 113.094000.
702: It is Sphere: r = 9. SurfaceArea = 113.094000.
703: It is Sphere: r = 9. SurfaceArea = 113.094000.
704: It is Sphere: r = 9. SurfaceArea = 113.094000.
705: It is Sphere: r = 9. SurfaceArea = 113.094000.
706: It is Sphere: r = 9. SurfaceArea = 113.094000.
707: It is Sphere: r = 9. SurfaceArea = 113.094000.
708: It is Sphere: r = 9. SurfaceArea = 113.094000.
709: It is Sphere: r = 9. SurfaceArea = 113.094000.
710: It is Sphere: r = 9. SurfaceArea = 113.094000.
711: It is Sphere: r = 9. SurfaceArea = 113.094000.
712: It is Sphere: r = 9. SurfaceArea = 113.094000.
713: It is Parallelepiped: a = 4, b = 5, c = 4. SurfaceArea = 112.000000.
714: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
715: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
716: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
717: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
718: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
719: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
720: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
721: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
722: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
723: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
724: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
725: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
726: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
727: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
728: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
729: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
730: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
731: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
732: It is Tetrahedron: a = 8. SurfaceArea = 110.851252.
733: It is Parallelepiped: a = 6, b = 1, c = 7. SurfaceArea = 110.000000.
734: It is Parallelepiped: a = 3, b = 13, c = 1. SurfaceArea = 110.000000.
735: It is Parallelepiped: a = 10, b = 1, c = 4. SurfaceArea = 108.000000.
736: It is Parallelepiped: a = 1, b = 17, c = 2. SurfaceArea = 106.000000.
737: It is Parallelepiped: a = 3, b = 12, c = 1. SurfaceArea = 102.000000.
738: It is Sphere: r = 8. SurfaceArea = 100.528000.
739: It is Sphere: r = 8. SurfaceArea = 100.528000.
740: It is Sphere: r = 8. SurfaceArea = 100.528000.
741: It is Sphere: r = 8. SurfaceArea = 100.528000.
742: It is Sphere: r = 8. SurfaceArea = 100.528000.
743: It is Sphere: r = 8. SurfaceArea = 100.528000.
744: It is Sphere: r = 8. SurfaceArea = 100.528000.
745: It is Sphere: r = 8. SurfaceArea = 100.528000.
746: It is Sphere: r = 8. SurfaceArea = 100.528000.
747: It is Sphere: r = 8. SurfaceArea = 100.528000.
748: It is Sphere: r = 8. SurfaceArea = 100.528000.
749: It is Sphere: r = 8. SurfaceArea = 100.528000.
750: It is Sphere: r = 8. SurfaceArea = 100.528000.
751: It is Sphere: r = 8. SurfaceArea = 100.528000.
752: It is Sphere: r = 8. SurfaceArea = 100.528000.
753: It is Sphere: r = 8. SurfaceArea = 100.528000.
754: It is Sphere: r = 8. SurfaceArea = 100.528000.
755: It is Sphere: r = 8. SurfaceArea = 100.528000.
756: It is Sphere: r = 8. SurfaceArea = 100.528000.
757: It is Sphere: r = 8. SurfaceArea = 100.528000.
758: It is Sphere: r = 8. SurfaceArea = 100.528000.
759: It is Sphere: r = 8. SurfaceArea = 100.528000.
760: It is Parallelepiped: a = 1, b = 9, c = 4. SurfaceArea = 98.000000.
761: It is Parallelepiped: a = 2, b = 1, c = 15. SurfaceArea = 94.000000.
762: It is Parallelepiped: a = 5, b = 4, c = 3. SurfaceArea = 94.000000.
763: It is Sphere: r = 7. SurfaceArea = 87.962000.
764: It is Sphere: r = 7. SurfaceArea = 87.962000.
765: It is Sphere: r = 7. SurfaceArea = 87.962000.
766: It is Sphere: r = 7. SurfaceArea = 87.962000.
767: It is Sphere: r = 7. SurfaceArea = 87.962000.
768: It is Sphere: r = 7. SurfaceArea = 87.962000.
769: It is Sphere: r = 7. SurfaceArea = 87.962000.
770: It is Sphere: r = 7. SurfaceArea = 87.962000.
771: It is Sphere: r = 7. SurfaceArea = 87.962000.
772: It is Sphere: r = 7. SurfaceArea = 87.962000.
773: It is Sphere: r = 7. SurfaceArea = 87.962000.
774: It is Sphere: r = 7. SurfaceArea = 87.962000.
775: It is Sphere: r = 7. SurfaceArea = 87.962000.
776: It is Sphere: r = 7. SurfaceArea = 87.962000.
777: It is Sphere: r = 7. SurfaceArea = 87.962000.
778: It is Sphere: r = 7. SurfaceArea = 87.962000.
779: It is Sphere: r = 7. SurfaceArea = 87.962000.
780: It is Tetrahedron: a = 7. SurfaceArea = 84.870490.
781: It is Tetrahedron: a = 7. SurfaceArea = 84.870490.
782: It is Tetrahedron: a = 7. SurfaceArea = 84.870490.
783: It is Tetrahedron: a = 7. SurfaceArea = 84.870490.
784: It is Tetrahedron: a = 7. SurfaceArea = 84.870490.
785: It is Tetrahedron: a = 7. SurfaceArea = 84.870490.
786: It is Tetrahedron: a = 7. SurfaceArea = 84.870490.
787: It is Tetrahedron: a = 7. SurfaceArea = 84.870490.
