Container contains 10000 elements:
1: It is a parallelepiped, a = 20, b = 20, c = 19, density = 12.722, surface area = 2320.0
1297: It is a parallelepiped, a = 5, b = 10, c = 20, density = 12.896, surface area = 700.0
1298: It is a parallelepiped, a = 14, b = 7, c = 12, density = 8.2, surface area = 700.0
1299: It is a parallelepiped, a = 8, b = 15, c = 10, density = 18.367, surface area = 700.0
1300: It is a parallelepiped, a = 17, b = 12, c = 5, density = 5.404, surface area = 698.0
1301: It is a parallelepiped, a = 5, b = 12, c = 17, density = 0.742, surface area = 698.0
1302: It is a parallelepiped, a = 14, b = 20, c = 2, density = 3.391, surface area = 696.0
1303: It is a parallelepiped, a = 20, b = 14, c = 2, density = 9.252, surface area = 696.0
1304: It is a parallelepiped, a = 3, b = 18, c = 14, density = 5.995, surface area = 696.0
1305: It is a parallelepiped, a = 18, b = 14, c = 3, density = 5.089, surface area = 696.0
1306: It is a parallelepiped, a = 20, b = 14, c = 2, density = 8.984, surface area = 696.0
1307: It is a parallelepiped, a = 20, b = 2, c = 14, density = 8.594, surface area = 696.0
1308: It is a parallelepiped, a = 2, b = 20, c = 14, density = 2.405, surface area = 696.0
1309: It is a parallelepiped, a = 18, b = 10, c = 6, density = 10.563, surface area = 696.0
1310: It is a parallelepiped, a = 6, b = 10, c = 18, density = 8.583, surface area = 696.0
1311: It is a parallelepiped, a = 11, b = 15, c = 7, density = 17.929, surface area = 694.0
1312: It is a tetrahedron, a = 20, density = 10.017, surface area = 692.8203230275508
1313: It is a tetrahedron, a = 20, density = 15.906, surface area = 692.8203230275508
1314: It is a tetrahedron, a = 20, density = 1.068, surface area = 692.8203230275508
1315: It is a tetrahedron, a = 20, density = 3.058, surface area = 692.8203230275508
1316: It is a tetrahedron, a = 20, density = 17.607, surface area = 692.8203230275508
1317: It is a tetrahedron, a = 20, density = 9.639, surface area = 692.8203230275508
1318: It is a tetrahedron, a = 20, density = 18.268, surface area = 692.8203230275508
1319: It is a tetrahedron, a = 20, density = 9.041, surface area = 692.8203230275508
1320: It is a tetrahedron, a = 20, density = 15.858, surface area = 692.8203230275508
1321: It is a tetrahedron, a = 20, density = 7.076, surface area = 692.8203230275508
1322: It is a tetrahedron, a = 20, density = 0.923, surface area = 692.8203230275508
1323: It is a tetrahedron, a = 20, density = 3.295, surface area = 692.8203230275508
1324: It is a tetrahedron, a = 20, density = 6.442, surface area = 692.8203230275508
1325: It is a tetrahedron, a = 20, density = 4.092, surface area = 692.8203230275508
1326: It is a tetrahedron, a = 20, density = 3.232, surface area = 692.8203230275508
1327: It is a tetrahedron, a = 20, density = 5.284, surface area = 692.8203230275508
1328: It is a tetrahedron, a = 20, density = 9.183, surface area = 692.8203230275508
1329: It is a tetrahedron, a = 20, density = 4.663, surface area = 692.8203230275508
1330: It is a tetrahedron, a = 20, density = 6.319, surface area = 692.8203230275508
1331: It is a tetrahedron, a = 20, density = 14.97, surface area = 692.8203230275508
1332: It is a tetrahedron, a = 20, density = 7.609, surface area = 692.8203230275508
1333: It is a tetrahedron, a = 20, density = 7.605, surface area = 692.8203230275508
1334: It is a tetrahedron, a = 20, density = 13.659, surface area = 692.8203230275508
1335: It is a tetrahedron, a = 20, density = 7.659, surface area = 692.8203230275508
1336: It is a tetrahedron, a = 20, density = 13.83, surface area = 692.8203230275508
1337: It is a tetrahedron, a = 20, density = 6.277, surface area = 692.8203230275508
1338: It is a tetrahedron, a = 20, density = 2.065, surface area = 692.8203230275508
1339: It is a tetrahedron, a = 20, density = 4.447, surface area = 692.8203230275508
1340: It is a tetrahedron, a = 20, density = 17.543, surface area = 692.8203230275508
1341: It is a tetrahedron, a = 20, density = 10.094, surface area = 692.8203230275508
1342: It is a tetrahedron, a = 20, density = 17.555, surface area = 692.8203230275508
1343: It is a tetrahedron, a = 20, density = 1.55, surface area = 692.8203230275508
1344: It is a tetrahedron, a = 20, density = 19.369, surface area = 692.8203230275508
1345: It is a tetrahedron, a = 20, density = 7.595, surface area = 692.8203230275508
1346: It is a tetrahedron, a = 20, density = 12.668, surface area = 692.8203230275508
1347: It is a tetrahedron, a = 20, density = 15.097, surface area = 692.8203230275508
1348: It is a tetrahedron, a = 20, density = 5.35, surface area = 692.8203230275508
1349: It is a tetrahedron, a = 20, density = 1.24, surface area = 692.8203230275508
1350: It is a tetrahedron, a = 20, density = 9.305, surface area = 692.8203230275508
1351: It is a tetrahedron, a = 20, density = 11.257, surface area = 692.8203230275508
1352: It is a tetrahedron, a = 20, density = 7.839, surface area = 692.8203230275508
1353: It is a tetrahedron, a = 20, density = 5.747, surface area = 692.8203230275508
1354: It is a tetrahedron, a = 20, density = 18.167, surface area = 692.8203230275508
1355: It is a tetrahedron, a = 20, density = 9.978, surface area = 692.8203230275508
1356: It is a tetrahedron, a = 20, density = 4.791, surface area = 692.8203230275508
1357: It is a tetrahedron, a = 20, density = 16.752, surface area = 692.8203230275508
1358: It is a tetrahedron, a = 20, density = 1.837, surface area = 692.8203230275508
1359: It is a tetrahedron, a = 20, density = 15.789, surface area = 692.8203230275508
1360: It is a tetrahedron, a = 20, density = 2.536, surface area = 692.8203230275508
1361: It is a tetrahedron, a = 20, density = 19.044, surface area = 692.8203230275508
1362: It is a tetrahedron, a = 20, density = 16.426, surface area = 692.8203230275508
1363: It is a tetrahedron, a = 20, density = 13.684, surface area = 692.8203230275508
1364: It is a tetrahedron, a = 20, density = 7.527, surface area = 692.8203230275508
1365: It is a tetrahedron, a = 20, density = 9.639, surface area = 692.8203230275508
1366: It is a tetrahedron, a = 20, density = 8.291, surface area = 692.8203230275508
1367: It is a tetrahedron, a = 20, density = 9.422, surface area = 692.8203230275508
1368: It is a tetrahedron, a = 20, density = 12.567, surface area = 692.8203230275508
1369: It is a tetrahedron, a = 20, density = 3.479, surface area = 692.8203230275508
1370: It is a tetrahedron, a = 20, density = 15.847, surface area = 692.8203230275508
1371: It is a tetrahedron, a = 20, density = 9.606, surface area = 692.8203230275508
1372: It is a tetrahedron, a = 20, density = 9.016, surface area = 692.8203230275508
1373: It is a tetrahedron, a = 20, density = 8.858, surface area = 692.8203230275508
1374: It is a tetrahedron, a = 20, density = 8.186, surface area = 692.8203230275508
1375: It is a tetrahedron, a = 20, density = 13.644, surface area = 692.8203230275508
1376: It is a tetrahedron, a = 20, density = 6.913, surface area = 692.8203230275508
1377: It is a tetrahedron, a = 20, density = 10.106, surface area = 692.8203230275508
1378: It is a tetrahedron, a = 20, density = 19.583, surface area = 692.8203230275508
1379: It is a tetrahedron, a = 20, density = 19.559, surface area = 692.8203230275508
1380: It is a tetrahedron, a = 20, density = 16.028, surface area = 692.8203230275508
1381: It is a tetrahedron, a = 20, density = 11.567, surface area = 692.8203230275508
1382: It is a tetrahedron, a = 20, density = 6.765, surface area = 692.8203230275508
1383: It is a tetrahedron, a = 20, density = 11.609, surface area = 692.8203230275508
1384: It is a tetrahedron, a = 20, density = 2.425, surface area = 692.8203230275508
1385: It is a tetrahedron, a = 20, density = 18.704, surface area = 692.8203230275508
1386: It is a tetrahedron, a = 20, density = 19.401, surface area = 692.8203230275508
1387: It is a tetrahedron, a = 20, density = 6.282, surface area = 692.8203230275508
1388: It is a tetrahedron, a = 20, density = 19.225, surface area = 692.8203230275508
1389: It is a tetrahedron, a = 20, density = 18.848, surface area = 692.8203230275508
1390: It is a tetrahedron, a = 20, density = 15.441, surface area = 692.8203230275508
1391: It is a tetrahedron, a = 20, density = 4.937, surface area = 692.8203230275508
1392: It is a tetrahedron, a = 20, density = 1.291, surface area = 692.8203230275508
1393: It is a tetrahedron, a = 20, density = 4.978, surface area = 692.8203230275508
1394: It is a tetrahedron, a = 20, density = 0.557, surface area = 692.8203230275508
1395: It is a tetrahedron, a = 20, density = 19.705, surface area = 692.8203230275508
1396: It is a tetrahedron, a = 20, density = 13.664, surface area = 692.8203230275508
1397: It is a tetrahedron, a = 20, density = 12.004, surface area = 692.8203230275508
1398: It is a tetrahedron, a = 20, density = 10.742, surface area = 692.8203230275508
1399: It is a tetrahedron, a = 20, density = 13.46, surface area = 692.8203230275508
1400: It is a tetrahedron, a = 20, density = 11.707, surface area = 692.8203230275508
1401: It is a tetrahedron, a = 20, density = 10.782, surface area = 692.8203230275508
1402: It is a tetrahedron, a = 20, density = 9.943, surface area = 692.8203230275508
1403: It is a tetrahedron, a = 20, density = 0.808, surface area = 692.8203230275508
1404: It is a tetrahedron, a = 20, density = 2.084, surface area = 692.8203230275508
1405: It is a tetrahedron, a = 20, density = 17.184, surface area = 692.8203230275508
1406: It is a tetrahedron, a = 20, density = 14.134, surface area = 692.8203230275508
1407: It is a tetrahedron, a = 20, density = 7.456, surface area = 692.8203230275508
1408: It is a tetrahedron, a = 20, density = 7.247, surface area = 692.8203230275508
1409: It is a tetrahedron, a = 20, density = 3.667, surface area = 692.8203230275508
1410: It is a tetrahedron, a = 20, density = 9.951, surface area = 692.8203230275508
1411: It is a tetrahedron, a = 20, density = 17.365, surface area = 692.8203230275508
1412: It is a tetrahedron, a = 20, density = 14.756, surface area = 692.8203230275508
1413: It is a tetrahedron, a = 20, density = 19.337, surface area = 692.8203230275508
1414: It is a tetrahedron, a = 20, density = 12.953, surface area = 692.8203230275508
1415: It is a tetrahedron, a = 20, density = 11.88, surface area = 692.8203230275508
1416: It is a tetrahedron, a = 20, density = 9.358, surface area = 692.8203230275508
1417: It is a tetrahedron, a = 20, density = 17.45, surface area = 692.8203230275508
1418: It is a tetrahedron, a = 20, density = 18.451, surface area = 692.8203230275508
1419: It is a tetrahedron, a = 20, density = 9.474, surface area = 692.8203230275508
1420: It is a tetrahedron, a = 20, density = 11.464, surface area = 692.8203230275508
1421: It is a tetrahedron, a = 20, density = 13.086, surface area = 692.8203230275508
1422: It is a tetrahedron, a = 20, density = 6.733, surface area = 692.8203230275508
1423: It is a tetrahedron, a = 20, density = 10.604, surface area = 692.8203230275508
1424: It is a tetrahedron, a = 20, density = 10.144, surface area = 692.8203230275508
1425: It is a tetrahedron, a = 20, density = 10.033, surface area = 692.8203230275508
1426: It is a tetrahedron, a = 20, density = 11.749, surface area = 692.8203230275508
1427: It is a tetrahedron, a = 20, density = 6.949, surface area = 692.8203230275508
1428: It is a tetrahedron, a = 20, density = 9.431, surface area = 692.8203230275508
1429: It is a tetrahedron, a = 20, density = 11.315, surface area = 692.8203230275508
1430: It is a tetrahedron, a = 20, density = 15.461, surface area = 692.8203230275508
1431: It is a tetrahedron, a = 20, density = 7.636, surface area = 692.8203230275508
1432: It is a tetrahedron, a = 20, density = 16.752, surface area = 692.8203230275508
1433: It is a tetrahedron, a = 20, density = 19.331, surface area = 692.8203230275508
1434: It is a tetrahedron, a = 20, density = 9.095, surface area = 692.8203230275508
1435: It is a tetrahedron, a = 20, density = 7.519, surface area = 692.8203230275508
1436: It is a tetrahedron, a = 20, density = 16.578, surface area = 692.8203230275508
1437: It is a tetrahedron, a = 20, density = 4.894, surface area = 692.8203230275508
1438: It is a tetrahedron, a = 20, density = 6.793, surface area = 692.8203230275508
1439: It is a tetrahedron, a = 20, density = 14.842, surface area = 692.8203230275508
1440: It is a tetrahedron, a = 20, density = 15.257, surface area = 692.8203230275508
1441: It is a tetrahedron, a = 20, density = 10.249, surface area = 692.8203230275508
1442: It is a tetrahedron, a = 20, density = 13.89, surface area = 692.8203230275508
1443: It is a tetrahedron, a = 20, density = 7.761, surface area = 692.8203230275508
1444: It is a tetrahedron, a = 20, density = 15.519, surface area = 692.8203230275508
1445: It is a tetrahedron, a = 20, density = 19.773, surface area = 692.8203230275508
1446: It is a tetrahedron, a = 20, density = 1.498, surface area = 692.8203230275508
1447: It is a tetrahedron, a = 20, density = 18.455, surface area = 692.8203230275508
1448: It is a tetrahedron, a = 20, density = 15.156, surface area = 692.8203230275508
1449: It is a tetrahedron, a = 20, density = 14.281, surface area = 692.8203230275508
1450: It is a tetrahedron, a = 20, density = 3.982, surface area = 692.8203230275508
1451: It is a tetrahedron, a = 20, density = 1.581, surface area = 692.8203230275508
1452: It is a tetrahedron, a = 20, density = 1.578, surface area = 692.8203230275508
1453: It is a tetrahedron, a = 20, density = 9.476, surface area = 692.8203230275508
1454: It is a tetrahedron, a = 20, density = 7.913, surface area = 692.8203230275508
1455: It is a tetrahedron, a = 20, density = 18.215, surface area = 692.8203230275508
1456: It is a tetrahedron, a = 20, density = 0.656, surface area = 692.8203230275508
1457: It is a tetrahedron, a = 20, density = 19.685, surface area = 692.8203230275508
1458: It is a tetrahedron, a = 20, density = 10.544, surface area = 692.8203230275508
1459: It is a tetrahedron, a = 20, density = 8.964, surface area = 692.8203230275508
1460: It is a tetrahedron, a = 20, density = 0.632, surface area = 692.8203230275508
1461: It is a tetrahedron, a = 20, density = 2.565, surface area = 692.8203230275508
1462: It is a tetrahedron, a = 20, density = 11.694, surface area = 692.8203230275508
1463: It is a tetrahedron, a = 20, density = 12.964, surface area = 692.8203230275508
1464: It is a tetrahedron, a = 20, density = 3.772, surface area = 692.8203230275508
1465: It is a tetrahedron, a = 20, density = 13.279, surface area = 692.8203230275508
1466: It is a tetrahedron, a = 20, density = 16.581, surface area = 692.8203230275508
1467: It is a tetrahedron, a = 20, density = 6.488, surface area = 692.8203230275508
1468: It is a parallelepiped, a = 4, b = 15, c = 15, density = 10.257, surface area = 690.0
1469: It is a parallelepiped, a = 16, b = 9, c = 8, density = 5.42, surface area = 688.0
1470: It is a parallelepiped, a = 13, b = 14, c = 6, density = 0.791, surface area = 688.0
1471: It is a parallelepiped, a = 4, b = 20, c = 11, density = 3.894, surface area = 688.0
1472: It is a parallelepiped, a = 16, b = 14, c = 4, density = 8.268, surface area = 688.0
1473: It is a parallelepiped, a = 16, b = 8, c = 9, density = 14.155, surface area = 688.0
1474: It is a parallelepiped, a = 14, b = 6, c = 13, density = 1.557, surface area = 688.0
1475: It is a parallelepiped, a = 8, b = 16, c = 9, density = 18.972, surface area = 688.0
1476: It is a parallelepiped, a = 18, b = 5, c = 11, density = 2.851, surface area = 686.0
1477: It is a parallelepiped, a = 3, b = 19, c = 13, density = 17.847, surface area = 686.0
1478: It is a parallelepiped, a = 13, b = 19, c = 3, density = 9.193, surface area = 686.0
1479: It is a parallelepiped, a = 5, b = 11, c = 18, density = 2.125, surface area = 686.0
1480: It is a parallelepiped, a = 10, b = 16, c = 7, density = 2.339, surface area = 684.0
1481: It is a parallelepiped, a = 15, b = 12, c = 6, density = 17.43, surface area = 684.0
1482: It is a parallelepiped, a = 15, b = 6, c = 12, density = 6.844, surface area = 684.0
1483: It is a parallelepiped, a = 7, b = 10, c = 16, density = 15.79, surface area = 684.0
1484: It is a parallelepiped, a = 1, b = 17, c = 18, density = 2.89, surface area = 682.0
1485: It is a parallelepiped, a = 8, b = 7, c = 19, density = 11.812, surface area = 682.0
1486: It is a parallelepiped, a = 17, b = 13, c = 4, density = 13.875, surface area = 682.0
1487: It is a parallelepiped, a = 8, b = 7, c = 19, density = 12.182, surface area = 682.0
1488: It is a parallelepiped, a = 7, b = 8, c = 19, density = 19.609, surface area = 682.0
1489: It is a parallelepiped, a = 1, b = 17, c = 18, density = 11.449, surface area = 682.0
1490: It is a parallelepiped, a = 8, b = 19, c = 7, density = 17.428, surface area = 682.0
1491: It is a parallelepiped, a = 8, b = 19, c = 7, density = 14.566, surface area = 682.0
1492: It is a parallelepiped, a = 17, b = 4, c = 13, density = 4.968, surface area = 682.0
1493: It is a parallelepiped, a = 13, b = 17, c = 4, density = 3.288, surface area = 682.0
1494: It is a parallelepiped, a = 12, b = 10, c = 10, density = 0.526, surface area = 680.0
1495: It is a parallelepiped, a = 10, b = 10, c = 12, density = 3.129, surface area = 680.0
1496: It is a parallelepiped, a = 1, b = 19, c = 16, density = 5.704, surface area = 678.0
1497: It is a parallelepiped, a = 11, b = 9, c = 12, density = 1.334, surface area = 678.0
1498: It is a parallelepiped, a = 9, b = 19, c = 6, density = 1.76, surface area = 678.0
1499: It is a parallelepiped, a = 6, b = 19, c = 9, density = 8.454, surface area = 678.0
1500: It is a parallelepiped, a = 9, b = 6, c = 19, density = 14.441, surface area = 678.0
1501: It is a parallelepiped, a = 9, b = 11, c = 12, density = 1.111, surface area = 678.0
1502: It is a parallelepiped, a = 9, b = 6, c = 19, density = 6.513, surface area = 678.0
1503: It is a parallelepiped, a = 16, b = 1, c = 19, density = 19.808, surface area = 678.0
1504: It is a parallelepiped, a = 12, b = 9, c = 11, density = 12.56, surface area = 678.0
1505: It is a parallelepiped, a = 16, b = 1, c = 19, density = 1.573, surface area = 678.0
1506: It is a parallelepiped, a = 16, b = 2, c = 17, density = 1.06, surface area = 676.0
1507: It is a parallelepiped, a = 16, b = 6, c = 11, density = 19.3, surface area = 676.0
1508: It is a parallelepiped, a = 16, b = 6, c = 11, density = 19.647, surface area = 676.0
1509: It is a parallelepiped, a = 6, b = 11, c = 16, density = 1.958, surface area = 676.0
1510: It is a parallelepiped, a = 6, b = 11, c = 16, density = 18.622, surface area = 676.0
1511: It is a parallelepiped, a = 11, b = 16, c = 6, density = 17.706, surface area = 676.0
1512: It is a parallelepiped, a = 6, b = 11, c = 16, density = 12.431, surface area = 676.0
1513: It is a parallelepiped, a = 13, b = 10, c = 9, density = 2.985, surface area = 674.0
1514: It is a parallelepiped, a = 10, b = 9, c = 13, density = 14.545, surface area = 674.0
1515: It is a parallelepiped, a = 10, b = 13, c = 9, density = 18.212, surface area = 674.0
1516: It is a parallelepiped, a = 12, b = 4, c = 18, density = 11.612, surface area = 672.0
1517: It is a parallelepiped, a = 2, b = 15, c = 18, density = 14.358, surface area = 672.0
1518: It is a parallelepiped, a = 8, b = 12, c = 12, density = 1.319, surface area = 672.0
1519: It is a parallelepiped, a = 12, b = 8, c = 12, density = 15.868, surface area = 672.0
1520: It is a parallelepiped, a = 18, b = 15, c = 2, density = 7.637, surface area = 672.0
1521: It is a parallelepiped, a = 8, b = 17, c = 8, density = 14.64, surface area = 672.0
1522: It is a parallelepiped, a = 18, b = 2, c = 15, density = 4.928, surface area = 672.0
1523: It is a parallelepiped, a = 18, b = 15, c = 2, density = 13.774, surface area = 672.0
1524: It is a parallelepiped, a = 18, b = 12, c = 4, density = 4.735, surface area = 672.0
1525: It is a parallelepiped, a = 12, b = 4, c = 18, density = 7.852, surface area = 672.0
1526: It is a parallelepiped, a = 5, b = 19, c = 10, density = 19.739, surface area = 670.0
1527: It is a parallelepiped, a = 17, b = 9, c = 7, density = 3.967, surface area = 670.0
1528: It is a parallelepiped, a = 19, b = 5, c = 10, density = 6.569, surface area = 670.0
1529: It is a parallelepiped, a = 11, b = 8, c = 13, density = 14.579, surface area = 670.0
1530: It is a parallelepiped, a = 17, b = 7, c = 9, density = 7.034, surface area = 670.0
1531: It is a parallelepiped, a = 15, b = 5, c = 13, density = 1.946, surface area = 670.0
1532: It is a parallelepiped, a = 17, b = 7, c = 9, density = 3.566, surface area = 670.0
1533: It is a parallelepiped, a = 13, b = 11, c = 8, density = 19.172, surface area = 670.0
1534: It is a parallelepiped, a = 10, b = 5, c = 19, density = 11.889, surface area = 670.0
1535: It is a parallelepiped, a = 5, b = 15, c = 13, density = 3.793, surface area = 670.0
1536: It is a parallelepiped, a = 15, b = 13, c = 5, density = 7.457, surface area = 670.0
1537: It is a parallelepiped, a = 13, b = 11, c = 8, density = 8.454, surface area = 670.0
1538: It is a parallelepiped, a = 5, b = 10, c = 19, density = 14.625, surface area = 670.0
1539: It is a parallelepiped, a = 15, b = 13, c = 5, density = 10.666, surface area = 670.0
1540: It is a parallelepiped, a = 15, b = 5, c = 13, density = 6.208, surface area = 670.0
1541: It is a parallelepiped, a = 19, b = 10, c = 5, density = 6.366, surface area = 670.0
1542: It is a parallelepiped, a = 9, b = 7, c = 17, density = 0.7, surface area = 670.0
1543: It is a parallelepiped, a = 16, b = 3, c = 15, density = 19.213, surface area = 666.0
1544: It is a parallelepiped, a = 3, b = 16, c = 15, density = 5.668, surface area = 666.0
1545: It is a parallelepiped, a = 3, b = 15, c = 16, density = 0.279, surface area = 666.0
1546: It is a parallelepiped, a = 3, b = 15, c = 16, density = 17.591, surface area = 666.0
1547: It is a parallelepiped, a = 16, b = 15, c = 3, density = 13.349, surface area = 666.0
1548: It is a parallelepiped, a = 12, b = 16, c = 5, density = 10.061, surface area = 664.0
1549: It is a parallelepiped, a = 6, b = 10, c = 17, density = 4.625, surface area = 664.0
1550: It is a parallelepiped, a = 16, b = 5, c = 12, density = 10.359, surface area = 664.0
1551: It is a parallelepiped, a = 16, b = 12, c = 5, density = 7.893, surface area = 664.0
1552: It is a parallelepiped, a = 10, b = 17, c = 6, density = 7.306, surface area = 664.0
1553: It is a parallelepiped, a = 2, b = 14, c = 19, density = 9.557, surface area = 664.0
1554: It is a parallelepiped, a = 10, b = 8, c = 14, density = 4.894, surface area = 664.0
1555: It is a parallelepiped, a = 10, b = 17, c = 6, density = 10.8, surface area = 664.0
1556: It is a parallelepiped, a = 3, b = 17, c = 14, density = 11.053, surface area = 662.0
1557: It is a parallelepiped, a = 7, b = 13, c = 12, density = 5.641, surface area = 662.0
1558: It is a parallelepiped, a = 12, b = 7, c = 13, density = 19.393, surface area = 662.0
1559: It is a parallelepiped, a = 7, b = 12, c = 13, density = 3.369, surface area = 662.0
1560: It is a parallelepiped, a = 14, b = 7, c = 11, density = 6.401, surface area = 658.0
1561: It is a parallelepiped, a = 7, b = 7, c = 20, density = 12.826, surface area = 658.0
1562: It is a parallelepiped, a = 11, b = 19, c = 4, density = 1.036, surface area = 658.0
1563: It is a parallelepiped, a = 11, b = 14, c = 7, density = 17.412, surface area = 658.0
1564: It is a parallelepiped, a = 11, b = 4, c = 19, density = 18.093, surface area = 658.0
1565: It is a parallelepiped, a = 19, b = 11, c = 4, density = 3.739, surface area = 658.0
1566: It is a parallelepiped, a = 11, b = 19, c = 4, density = 6.565, surface area = 658.0
1567: It is a parallelepiped, a = 11, b = 19, c = 4, density = 12.028, surface area = 658.0
1568: It is a parallelepiped, a = 11, b = 14, c = 7, density = 9.412, surface area = 658.0
1569: It is a parallelepiped, a = 4, b = 19, c = 11, density = 13.517, surface area = 658.0
1570: It is a parallelepiped, a = 20, b = 7, c = 7, density = 7.109, surface area = 658.0
1571: It is a parallelepiped, a = 20, b = 6, c = 8, density = 19.123, surface area = 656.0
1572: It is a parallelepiped, a = 11, b = 17, c = 5, density = 10.981, surface area = 654.0
1573: It is a parallelepiped, a = 13, b = 18, c = 3, density = 10.957, surface area = 654.0
1574: It is a parallelepiped, a = 3, b = 13, c = 18, density = 11.399, surface area = 654.0
1575: It is a parallelepiped, a = 9, b = 15, c = 8, density = 1.236, surface area = 654.0
1576: It is a parallelepiped, a = 17, b = 11, c = 5, density = 18.208, surface area = 654.0
1577: It is a parallelepiped, a = 5, b = 11, c = 17, density = 8.931, surface area = 654.0
1578: It is a parallelepiped, a = 15, b = 4, c = 14, density = 16.313, surface area = 652.0
1579: It is a parallelepiped, a = 7, b = 8, c = 18, density = 8.57, surface area = 652.0
1580: It is a parallelepiped, a = 15, b = 4, c = 14, density = 15.877, surface area = 652.0
1581: It is a parallelepiped, a = 14, b = 15, c = 4, density = 17.039, surface area = 652.0
1582: It is a parallelepiped, a = 15, b = 14, c = 4, density = 9.636, surface area = 652.0
1583: It is a parallelepiped, a = 7, b = 8, c = 18, density = 7.269, surface area = 652.0
1584: It is a parallelepiped, a = 8, b = 7, c = 18, density = 3.742, surface area = 652.0
1585: It is a parallelepiped, a = 20, b = 13, c = 2, density = 6.056, surface area = 652.0
1586: It is a parallelepiped, a = 14, b = 15, c = 4, density = 11.104, surface area = 652.0
1587: It is a parallelepiped, a = 13, b = 6, c = 13, density = 17.806, surface area = 650.0
1588: It is a parallelepiped, a = 10, b = 7, c = 15, density = 15.305, surface area = 650.0
1589: It is a parallelepiped, a = 20, b = 5, c = 9, density = 2.397, surface area = 650.0
1590: It is a parallelepiped, a = 14, b = 12, c = 6, density = 11.588, surface area = 648.0
1591: It is a parallelepiped, a = 12, b = 6, c = 14, density = 0.977, surface area = 648.0
1592: It is a parallelepiped, a = 6, b = 12, c = 14, density = 1.132, surface area = 648.0
1593: It is a parallelepiped, a = 4, b = 13, c = 16, density = 17.01, surface area = 648.0
1594: It is a parallelepiped, a = 9, b = 18, c = 6, density = 16.872, surface area = 648.0
1595: It is a parallelepiped, a = 18, b = 9, c = 6, density = 7.834, surface area = 648.0
1596: It is a parallelepiped, a = 18, b = 6, c = 9, density = 10.887, surface area = 648.0
1597: It is a parallelepiped, a = 1, b = 17, c = 17, density = 7.369, surface area = 646.0
1598: It is a parallelepiped, a = 17, b = 17, c = 1, density = 16.626, surface area = 646.0
1599: It is a parallelepiped, a = 16, b = 1, c = 18, density = 1.764, surface area = 644.0
1600: It is a parallelepiped, a = 1, b = 18, c = 16, density = 9.674, surface area = 644.0
1601: It is a parallelepiped, a = 11, b = 6, c = 15, density = 8.71, surface area = 642.0
1602: It is a parallelepiped, a = 12, b = 19, c = 3, density = 10.207, surface area = 642.0
1603: It is a parallelepiped, a = 6, b = 15, c = 11, density = 15.397, surface area = 642.0
1604: It is a parallelepiped, a = 8, b = 16, c = 8, density = 6.502, surface area = 640.0
1605: It is a parallelepiped, a = 8, b = 16, c = 8, density = 8.069, surface area = 640.0
1606: It is a parallelepiped, a = 10, b = 18, c = 5, density = 14.099, surface area = 640.0
1607: It is a parallelepiped, a = 10, b = 18, c = 5, density = 0.674, surface area = 640.0
1608: It is a parallelepiped, a = 12, b = 17, c = 4, density = 12.587, surface area = 640.0
1609: It is a parallelepiped, a = 18, b = 10, c = 5, density = 5.385, surface area = 640.0
1610: It is a parallelepiped, a = 16, b = 8, c = 8, density = 1.368, surface area = 640.0
1611: It is a parallelepiped, a = 10, b = 4, c = 20, density = 1.963, surface area = 640.0
1612: It is a parallelepiped, a = 18, b = 5, c = 10, density = 15.912, surface area = 640.0
1613: It is a parallelepiped, a = 16, b = 16, c = 2, density = 7.355, surface area = 640.0
1614: It is a parallelepiped, a = 18, b = 5, c = 10, density = 14.837, surface area = 640.0
1615: It is a parallelepiped, a = 16, b = 8, c = 8, density = 10.005, surface area = 640.0
1616: It is a parallelepiped, a = 15, b = 19, c = 1, density = 12.299, surface area = 638.0
1617: It is a parallelepiped, a = 15, b = 1, c = 19, density = 11.442, surface area = 638.0
1618: It is a parallelepiped, a = 2, b = 17, c = 15, density = 6.925, surface area = 638.0
1619: It is a parallelepiped, a = 15, b = 19, c = 1, density = 1.409, surface area = 638.0
1620: It is a parallelepiped, a = 11, b = 11, c = 9, density = 0.401, surface area = 638.0
1621: It is a parallelepiped, a = 9, b = 12, c = 10, density = 11.861, surface area = 636.0
1622: It is a parallelepiped, a = 10, b = 9, c = 12, density = 18.929, surface area = 636.0
1623: It is a parallelepiped, a = 9, b = 12, c = 10, density = 0.674, surface area = 636.0
1624: It is a parallelepiped, a = 12, b = 9, c = 10, density = 19.252, surface area = 636.0
1625: It is a parallelepiped, a = 16, b = 6, c = 10, density = 16.777, surface area = 632.0
1626: It is a parallelepiped, a = 12, b = 8, c = 11, density = 11.591, surface area = 632.0
1627: It is a parallelepiped, a = 11, b = 12, c = 8, density = 2.684, surface area = 632.0
1628: It is a parallelepiped, a = 6, b = 10, c = 16, density = 0.38, surface area = 632.0
1629: It is a parallelepiped, a = 12, b = 8, c = 11, density = 5.424, surface area = 632.0
1630: It is a parallelepiped, a = 6, b = 16, c = 10, density = 4.636, surface area = 632.0
1631: It is a parallelepiped, a = 16, b = 10, c = 6, density = 16.951, surface area = 632.0
1632: It is a parallelepiped, a = 11, b = 12, c = 8, density = 19.381, surface area = 632.0
1633: It is a parallelepiped, a = 11, b = 12, c = 8, density = 19.922, surface area = 632.0
1634: It is a parallelepiped, a = 9, b = 9, c = 13, density = 5.608, surface area = 630.0
